model,sb,day,time,trial,acc
ecnn3,1,2,PM,11,0.7269489513256826
ecnn3,1,2,PM,12,0.721900826446281
ecnn3,1,3,AM,1,0.6471558120362737
ecnn3,1,3,AM,2,0.5396544085068675
ecnn3,1,3,AM,3,0.6255419787150177
ecnn3,1,3,AM,4,0.5021663778162911
ecnn3,1,3,AM,5,0.6711273317112734
ecnn3,1,3,AM,6,0.6173254835996635
ecnn3,1,3,AM,7,0.6363263632636327
ecnn3,1,3,AM,8,0.5983676975945017
ecnn3,1,3,AM,9,0.6674958540630183
ecnn3,1,3,AM,10,0.6460296096904441
ecnn3,1,3,AM,11,0.6734279918864098
ecnn3,1,3,AM,12,0.7017241379310345
ecnn3,1,3,PM,1,0.5574664429530202
ecnn3,1,3,PM,2,0.572594501718213
ecnn3,1,3,PM,3,0.5613305613305614
ecnn3,1,3,PM,4,0.5616730687153222
ecnn3,1,3,PM,5,0.5083639330885353
ecnn3,1,3,PM,6,0.5934959349593496
ecnn3,1,3,PM,7,0.5334967320261438
ecnn3,1,3,PM,8,0.5809163514081547
ecnn3,1,3,PM,9,0.5275387263339071
ecnn3,1,3,PM,10,0.563061137238136
ecnn3,1,3,PM,11,0.5474243663123467
ecnn3,1,3,PM,12,0.5526315789473685
ecnn3,1,4,AM,1,0.6803615447822514
ecnn3,1,4,AM,2,0.640268456375839
ecnn3,1,4,AM,3,0.6149377593360996
ecnn3,1,4,AM,4,0.6220607097050022
ecnn3,1,4,AM,5,0.706634692246203
ecnn3,1,4,AM,6,0.6794155565105285
ecnn3,1,4,AM,7,0.6976072607260726
ecnn3,1,4,AM,8,0.6508344030808729
ecnn3,1,4,AM,9,0.7283800243605358
ecnn3,1,4,AM,10,0.6874734607218683
ecnn3,1,4,AM,11,0.6501457725947521
ecnn3,1,4,AM,12,0.6244761106454317
ecnn3,1,4,PM,1,0.6871416871416871
ecnn3,1,4,PM,2,0.6535864978902953
ecnn3,1,4,PM,3,0.6597402597402597
ecnn3,1,4,PM,4,0.6404633843607779
ecnn3,1,4,PM,5,0.6787903555373928
ecnn3,1,4,PM,6,0.5576766856214461
ecnn3,1,4,PM,7,0.6605316973415133
ecnn3,1,4,PM,8,0.6407927332782825
ecnn3,1,4,PM,9,0.6640721015977059
ecnn3,1,4,PM,10,0.5597430406852248
ecnn3,1,4,PM,11,0.6656988801327249
ecnn3,1,4,PM,12,0.6079593564775614
ecnn3,1,5,AM,1,0.6103187919463087
ecnn3,1,5,AM,2,0.5181236673773987
ecnn3,1,5,AM,3,0.6167926780740152
ecnn3,1,5,AM,4,0.565981148243359
ecnn3,1,5,AM,5,0.6603469140782574
ecnn3,1,5,AM,6,0.5204953031596926
ecnn3,1,5,AM,7,0.5631955484896661
ecnn3,1,5,AM,8,0.4591666666666666
ecnn3,1,5,AM,9,0.6189690721649485
ecnn3,1,5,AM,10,0.5481418918918919
ecnn3,1,5,AM,11,0.6017734784361145
ecnn3,1,5,AM,12,0.5218466611706513
ecnn3,1,5,PM,1,0.5916271721958926
ecnn3,1,5,PM,2,0.5299872394725649
ecnn3,1,5,PM,3,0.5970088924818109
ecnn3,1,5,PM,4,0.5895929500629459
ecnn3,1,5,PM,5,0.617439120188531
ecnn3,1,5,PM,6,0.615606936416185
ecnn3,1,5,PM,7,0.5963155786944333
ecnn3,1,5,PM,8,0.58298755186722
ecnn3,1,5,PM,9,0.5786138613861386
ecnn3,1,5,PM,10,0.5471698113207547
ecnn3,1,5,PM,11,0.6093435360451067
ecnn3,1,5,PM,12,0.5796178343949044
etcn0,1,1,AM,1,0.8223529411764706
etcn0,1,1,AM,2,0.8193224592220828
etcn0,1,1,AM,3,0.6778309409888357
etcn0,1,1,AM,4,0.8403990024937655
etcn0,1,1,AM,5,0.8369868473495417
etcn0,1,1,AM,6,0.8278201865988125
etcn0,1,1,AM,7,0.8082583810302535
etcn0,1,1,AM,8,0.8325581395348837
etcn0,1,1,AM,9,0.7002457002457002
etcn0,1,1,AM,10,0.8406862745098039
etcn0,1,1,AM,11,0.8466479325572059
etcn0,1,1,AM,12,0.8553563984993747
etcn0,1,1,PM,1,0.8722069776558212
etcn0,1,1,PM,2,0.8439983270598076
etcn0,1,1,PM,3,0.6875
etcn0,1,1,PM,4,0.8413878562577447
etcn0,1,1,PM,5,0.8441610203268234
etcn0,1,1,PM,6,0.8392124692370796
etcn0,1,1,PM,7,0.8595931392102114
etcn0,1,1,PM,8,0.8599498327759197
etcn0,1,1,PM,9,0.6632124352331606
etcn0,1,1,PM,10,0.8318367346938775
etcn0,1,1,PM,11,0.8753007217321572
etcn0,1,1,PM,12,0.8415046491969569
etcn0,1,2,AM,1,0.657328461226147
etcn0,1,2,AM,2,0.6371607515657621
etcn0,1,2,AM,3,0.7015706806282722
etcn0,1,2,AM,4,0.6406962287608786
etcn0,1,2,AM,5,0.670865501828525
etcn0,1,2,AM,6,0.6496259351620948
etcn0,1,2,AM,7,0.6464968152866242
etcn0,1,2,AM,8,0.6563275434243176
etcn0,1,2,AM,9,0.6851335193304106
etcn0,1,2,AM,10,0.5868365180467091
etcn0,1,2,AM,11,0.6867517956903432
etcn0,1,2,AM,12,0.5758450123660346
etcn0,1,2,PM,1,0.5711974110032363
etcn0,1,2,PM,2,0.5795170691090757
etcn0,1,2,PM,3,0.6296893908834207
etcn0,1,2,PM,4,0.621331128565523
etcn0,1,2,PM,5,0.6240816326530613
etcn0,1,2,PM,6,0.5443037974683544
etcn0,1,2,PM,7,0.6305186455207887
etcn0,1,2,PM,8,0.6062474311549527
etcn0,1,2,PM,9,0.6428282828282829
etcn0,1,2,PM,10,0.6151950718685831
etcn0,1,2,PM,11,0.6683814800158291
etcn0,1,2,PM,12,0.6723140495867769
etcn0,1,3,AM,1,0.6170651277823578
etcn0,1,3,AM,2,0.5414266725742135
etcn0,1,3,AM,3,0.6148994875837603
etcn0,1,3,AM,4,0.5398613518197574
etcn0,1,3,AM,5,0.7112733171127331
etcn0,1,3,AM,6,0.5761143818334735
etcn0,1,3,AM,7,0.6252562525625256
etcn0,1,3,AM,8,0.6073883161512027
etcn0,1,3,AM,9,0.6513266998341625
etcn0,1,3,AM,10,0.6563481381785554
etcn0,1,3,AM,11,0.6657200811359026
etcn0,1,3,AM,12,0.6409482758620689
etcn0,1,3,PM,1,0.3615771812080537
etcn0,1,3,PM,2,0.4145189003436425
etcn0,1,3,PM,3,0.4008316008316009
etcn0,1,3,PM,4,0.38412291933418696
etcn0,1,3,PM,5,0.35414116687066505
etcn0,1,3,PM,6,0.4167736414206247
etcn0,1,3,PM,7,0.3819444444444444
etcn0,1,3,PM,8,0.469525010508617
etcn0,1,3,PM,9,0.3808089500860585
etcn0,1,3,PM,10,0.41000427533133815
etcn0,1,3,PM,11,0.3679476696647588
etcn0,1,3,PM,12,0.4253666954270923
etcn0,1,4,AM,1,0.6388660640920296
etcn0,1,4,AM,2,0.6259507829977629
etcn0,1,4,AM,3,0.6323651452282157
etcn0,1,4,AM,4,0.669089354424968
etcn0,1,4,AM,5,0.7142286171063149
etcn0,1,4,AM,6,0.6420283626987537
etcn0,1,4,AM,7,0.7363861386138614
etcn0,1,4,AM,8,0.6397090286692341
etcn0,1,4,AM,9,0.6975233455136013
etcn0,1,4,AM,10,0.6356687898089172
etcn0,1,4,AM,11,0.6618075801749271
etcn0,1,4,AM,12,0.5393964794635373
etcn0,1,4,PM,1,0.6744471744471745
etcn0,1,4,PM,2,0.6025316455696202
etcn0,1,4,PM,3,0.6727272727272727
etcn0,1,4,PM,4,0.6135705419942077
etcn0,1,4,PM,5,0.6763383735185942
etcn0,1,4,PM,6,0.5962632006498781
etcn0,1,4,PM,7,0.6809815950920245
etcn0,1,4,PM,8,0.6424442609413707
etcn0,1,4,PM,9,0.7021712412945514
etcn0,1,4,PM,10,0.6077087794432549
etcn0,1,4,PM,11,0.6532559104106179
etcn0,1,4,PM,12,0.5647756138865369
etcn0,1,5,AM,1,0.5394295302013423
etcn0,1,5,AM,2,0.4635394456289978
etcn0,1,5,AM,3,0.5662554715479506
etcn0,1,5,AM,4,0.4952870608397601
etcn0,1,5,AM,5,0.5437676482452601
etcn0,1,5,AM,6,0.4654141759180188
etcn0,1,5,AM,7,0.5290143084260731
etcn0,1,5,AM,8,0.4295833333333333
etcn0,1,5,AM,9,0.5649484536082474
etcn0,1,5,AM,10,0.4653716216216216
